CN,Unit
03019911,-
03019918,-
03019985,-
03021110,-
03021120,-
03021180,-
03021300,-
03021400,-
03021900,-
03022110,-
03022130,-
03022190,-
03022200,-
03022300,-
03022400,-
03022910,-
03022980,-
03023110,-
03023190,-
03023210,-
03023290,-
03023310,-
03023390,-
03023410,-
03023490,-
03023511,-
03023519,-
03023591,-
03023599,-
03023610,-
03023690,-
03023920,-
03023980,-
03024100,-
03024200,-
03024310,-
03024330,-
03024390,-
03024400,-
03024510,-
03024530,-
03024590,-
03024600,-
03024700,-
03025110,-
03025190,-
03025200,-
03025300,-
03025411,-
03025415,-
03025419,-
03025490,-
03025500,-
03025600,-
03025910,-
03025920,-
03025930,-
03025940,-
03025990,-
03027100,-
03027200,-
03027300,-
03027400,-
03027900,-
03028110,-
03028120,-
03028130,-
03028190,-
03028200,-
03028300,-
03028410,-
03028490,-
03028510,-
03028530,-
03028590,-
03028910,-
03028921,-
03028929,-
03028931,-
03028939,-
03028940,-
03028950,-
03028960,-
03028990,-
03029000,-
03031100,-
03031200,-
03031300,-
03031410,-
03031420,-
03031490,-
03031900,-
03032300,-
03032400,-
03032500,-
03032600,-
03032900,-
03033110,-
03033130,-
03033190,-
03033200,-
03033300,-
03033400,-
03033910,-
03033930,-
03033950,-
03033985,-
03034110,-
03034190,-
03034212,-
03034218,-
03034242,-
03034248,-
03034290,-
03034310,-
03034390,-
03034410,-
03034490,-
03034512,-
03034518,-
03034591,-
03034599,-
03034610,-
03034690,-
03034920,-
03034985,-
03035100,-
03035310,-
03035330,-
03035390,-
03035410,-
03035490,-
03035510,-
03035530,-
03035590,-
03035600,-
03035700,-
03036310,-
03036330,-
03036390,-
03036400,-
03036500,-
03036611,-
03036612,-
03036613,-
03036619,-
03036690,-
03036700,-
03036810,-
03036890,-
03036910,-
03036930,-
03036950,-
03036970,-
03036980,-
03036990,-
03038110,-
03038120,-
03038130,-
03038190,-
03038200,-
03038300,-
03038410,-
03038490,-
03038910,-
03038921,-
03038929,-
03038931,-
03038939,-
03038940,-
03038945,-
03038950,-
03038955,-
03038960,-
03038965,-
03038970,-
03038990,-
03039010,-
03039090,-
03043100,-
03043200,-
03043300,-
03043900,-
03044100,-
03044210,-
03044250,-
03044290,-
03044300,-
03044410,-
03044430,-
03044490,-
03044500,-
03044600,-
03044910,-
03044950,-
03044990,-
03045100,-
03045200,-
03045300,-
03045400,-
03045500,-
03045910,-
03045950,-
03045990,-
03046100,-
03046200,-
03046300,-
03046900,-
03047110,-
03047190,-
03047200,-
03047300,-
03047411,-
03047415,-
03047419,-
03047490,-
03047500,-
03047910,-
03047930,-
03047950,-
03047980,-
03047990,-
03048100,-
03048210,-
03048250,-
03048290,-
03048310,-
03048330,-
03048350,-
03048390,-
03048400,-
03048500,-
03048600,-
03048700,-
03048910,-
03048921,-
03048929,-
03048930,-
03048941,-
03048949,-
03048951,-
03048955,-
03048959,-
03048960,-
03048990,-
03049100,-
03049200,-
03049310,-
03049390,-
03049410,-
03049490,-
03049510,-
03049521,-
03049525,-
03049529,-
03049530,-
03049540,-
03049550,-
03049560,-
03049590,-
03049910,-
03049921,-
03049923,-
03049929,-
03049955,-
03049961,-
03049965,-
03049999,-
03051000,-
03052000,-
03053100,-
03053211,-
03053219,-
03053290,-
03053910,-
03053950,-
03053990,-
03054100,-
03054200,-
03054300,-
03054410,-
03054490,-
03054910,-
03054920,-
03054930,-
03054980,-
03055110,-
03055190,-
03055910,-
03055930,-
03055950,-
03055970,-
03055980,-
03056100,-
03056200,-
03056300,-
03056400,-
03056910,-
03056930,-
03056950,-
03056980,-
03057110,-
03057190,-
03057200,-
03057900,-
03061105,-
03061110,-
03061190,-
03061205,-
03061210,-
03061290,-
03061405,-
03061410,-
03061430,-
03061490,-
03061510,-
03061590,-
03061610,-
03061691,-
03061699,-
03061710,-
03061791,-
03061792,-
03061793,-
03061794,-
03061799,-
03061905,-
03061910,-
03061990,-
03062110,-
03062190,-
03062210,-
03062230,-
03062291,-
03062299,-
03062410,-
03062430,-
03062480,-
03062510,-
03062590,-
03062610,-
03062631,-
03062639,-
03062690,-
03062710,-
03062791,-
03062795,-
03062799,-
03062905,-
03062910,-
03062990,-
03071110,-
03071190,-
03071910,-
03071990,-
03072100,-
03072905,-
03072910,-
03072990,-
03073110,-
03073190,-
03073905,-
03073910,-
03073990,-
03074110,-
03074192,-
03074199,-
03074905,-
03074909,-
03074911,-
03074918,-
03074931,-
03074933,-
03074935,-
03074938,-
03074959,-
03074971,-
03074992,-
03074999,-
03075100,-
03075905,-
03075910,-
03075990,-
03076010,-
03076090,-
03077100,-
03077910,-
03077930,-
03077990,-
03078100,-
03078910,-
03078990,-
03079110,-
03079190,-
03079910,-
03079911,-
03079914,-
03079917,-
03079920,-
03079980,-
03081100,-
03081910,-
03081930,-
03081990,-
03082100,-
03082910,-
03082930,-
03082990,-
03083010,-
03083030,-
03083050,-
03083090,-
03089010,-
03089030,-
03089050,-
03089090,-
04011010,-
04011090,-
04012011,-
04012019,-
04012091,-
04012099,-
04014010,-
04014090,-
04015011,-
04015019,-
04015031,-
04015039,-
04015091,-
04015099,-
04021011,-
04021019,-
04021091,-
04021099,-
04022111,-
04022118,-
04022191,-
04022199,-
04022911,-
04022915,-
04022919,-
04022991,-
04022999,-
04029110,-
04029130,-
04029151,-
04029159,-
04029191,-
04029199,-
04029910,-
04029931,-
04029939,-
04029991,-
04029999,-
04031011,-
04031013,-
04031019,-
04031031,-
04031033,-
04031039,-
04031051,-
04031053,-
04031059,-
04031091,-
04031093,-
04031099,-
04039011,-
04039013,-
04039019,-
04039031,-
04039033,-
04039039,-
04039051,-
04039053,-
04039059,-
04039061,-
04039063,-
04039069,-
04039071,-
04039073,-
04039079,-
04039091,-
04039093,-
04039099,-
04041002,-
04041004,-
04041006,-
04041012,-
04041014,-
04041016,-
04041026,-
04041028,-
04041032,-
04041034,-
04041036,-
04041038,-
04041048,-
04041052,-
04041054,-
04041056,-
04041058,-
04041062,-
04041072,-
04041074,-
04041076,-
04041078,-
04041082,-
04041084,-
04049021,-
04049023,-
04049029,-
04049081,-
04049083,-
04049089,-
04051011,-
04051019,-
04051030,-
04051050,-
04051090,-
04052010,-
04052030,-
04052090,-
04059010,-
04059090,-
04061030,-
04061050,-
04061080,-
04062000,-
04063010,-
04063031,-
04063039,-
04063090,-
04064010,-
04064050,-
04064090,-
04069001,-
04069013,-
04069015,-
04069017,-
04069018,-
04069021,-
04069023,-
04069025,-
04069029,-
04069032,-
04069035,-
04069037,-
04069039,-
04069050,-
04069061,-
04069063,-
04069069,-
04069073,-
04069074,-
04069075,-
04069076,-
04069078,-
04069079,-
04069081,-
04069082,-
04069084,-
04069085,-
04069086,-
04069089,-
04069092,-
04069093,-
04069099,-
04071100,p/st
04071911,p/st
04071919,p/st
04071990,p/st
04072100,1000 p/st
04072910,1000 p/st
04072990,p/st
04079010,1000 p/st
04079090,p/st
04081120,-
04081180,-
04081920,-
04081981,-
04081989,-
04089120,-
04089180,-
04089920,-
04089980,-
04090000,-
04100000,-
05010000,-
05021000,-
05029000,-
05040000,-
05051010,-
05051090,-
05059000,-
05061000,-
05069000,-
05071000,-
05079000,-
05080000,-
05100000,-
05111000,p/st
05119110,-
05119190,-
05119910,-
05119931,-
05119939,-
05119985,-
06011010,p/st
06011020,p/st
06011030,p/st
06011040,p/st
06011090,p/st
06012010,-
06012030,-
06012090,-
06021010,-
06021090,-
06022010,-
06022020,p/st
06022030,p/st
06022080,p/st
06023000,p/st
06024000,p/st
06029010,-
06029020,-
06029030,-
06029041,p/st
06029045,p/st
06029046,p/st
06029047,p/st
06029048,p/st
06029050,-
06029070,p/st
06029091,p/st
06029099,p/st
06031100,p/st
06031200,p/st
06031300,p/st
06031400,p/st
06031500,p/st
06031910,p/st
06031920,p/st
06031970,p/st
06039000,-
06042011,-
06042019,-
06042020,p/st
06042040,-
06042090,-
06049011,-
06049019,-
06049091,-
06049099,-
07011000,-
07019010,-
07019050,-
07019090,-
07020000,-
07031011,-
07031019,-
07031090,-
07032000,-
07039000,-
07041000,-
07042000,-
07049010,-
07049090,-
07051100,-
07051900,-
07052100,-
07052900,-
07061000,-
07069010,-
07069030,-
07069090,-
07070005,-
07070090,-
07081000,-
07082000,-
07089000,-
07092000,-
07093000,-
07094000,-
07095100,-
07095910,-
07095930,-
07095950,-
07095990,-
07096010,-
07096091,-
07096095,-
07096099,-
07097000,-
07099100,-
07099210,-
07099290,-
07099310,-
07099390,-
07099910,-
07099920,-
07099940,-
07099950,-
07099960,-
07099990,-
07101000,-
07102100,-
07102200,-
07102900,-
07103000,-
07104000,-
07108010,-
07108051,-
07108059,-
07108061,-
07108069,-
07108070,-
07108080,-
07108085,-
07108095,-
07109000,-
07112010,-
07112090,-
07114000,-
07115100,kg/net eda
07115900,-
07119010,-
07119030,-
07119050,-
07119070,-
07119080,-
07119090,-
07122000,-
07123100,-
07123200,-
07123300,-
07123900,-
07129005,-
07129011,-
07129019,-
07129030,-
07129050,-
07129090,-
07131010,-
07131090,-
07132000,-
07133100,-
07133200,-
07133310,-
07133390,-
07133400,-
07133500,-
07133900,-
07134000,-
07135000,-
07136000,-
07139000,-
07141000,-
07142010,-
07142090,-
07143000,-
07144000,-
07145000,-
07149020,-
07149090,-
08011100,-
08011200,-
08011900,-
08012100,-
08012200,-
08013100,-
08013200,-
08021110,-
08021190,-
08021210,-
08021290,-
08022100,-
08022200,-
08023100,-
08023200,-
08024100,-
08024200,-
08025100,-
08025200,-
08026100,-
08026200,-
08027000,-
08028000,-
08029010,-
08029050,-
08029085,-
08031010,-
08031090,-
08039010,-
08039090,-
08041000,-
08042010,-
08042090,-
08043000,-
08044000,-
08045000,-
08051020,-
08051080,-
08052010,-
08052030,-
08052050,-
08052070,-
08052090,-
08054000,-
08055010,-
08055090,-
08059000,-
08061010,-
08061090,-
08062010,-
08062030,-
08062090,-
08071100,-
08071900,-
08072000,-
08081010,-
08081080,-
08083010,-
08083090,-
08084000,-
08091000,-
08092100,-
08092900,-
08093010,-
08093090,-
08094005,-
08094090,-
08101000,-
08102010,-
08102090,-
08103010,-
08103030,-
08103090,-
08104010,-
08104030,-
08104050,-
08104090,-
08105000,-
08106000,-
08107000,-
08109020,-
08109075,-
08111011,-
08111019,-
08111090,-
08112011,-
08112019,-
08112031,-
08112039,-
08112051,-
08112059,-
08112090,-
08119011,-
08119019,-
08119031,-
08119039,-
08119050,-
08119070,-
08119075,-
08119080,-
08119085,-
08119095,-
08121000,-
08129025,-
08129030,-
08129040,-
08129070,-
08129098,-
08131000,-
08132000,-
08133000,-
08134010,-
08134030,-
08134050,-
08134065,-
08134095,-
08135012,-
08135015,-
08135019,-
08135031,-
08135039,-
08135091,-
08135099,-
08140000,-
09011100,-
09011200,-
09012100,-
09012200,-
09019010,-
09019090,-
09021000,-
09022000,-
09023000,-
09024000,-
09030000,-
09041100,-
09041200,-
09042110,-
09042190,-
09042200,-
09051000,-
09052000,-
09061100,-
09061900,-
09062000,-
09071000,-
09072000,-
09081100,-
09081200,-
09082100,-
09082200,-
09083100,-
09083200,-
09092100,-
09092200,-
09093100,-
09093200,-
09096100,-
09096200,-
09101100,-
09101200,-
09102010,-
09102090,-
09103000,-
09109105,-
09109110,-
09109190,-
09109910,-
09109931,-
09109933,-
09109939,-
09109950,-
09109991,-
09109999,-
10011100,-
10011900,-
10019110,-
10019120,-
10019190,-
10019900,-
10021000,-
10029000,-
10031000,-
10039000,-
10041000,-
10049000,-
10051013,-
10051015,-
10051018,-
10051090,-
10059000,-
10061010,-
10061021,-
10061023,-
10061025,-
10061027,-
10061092,-
10061094,-
10061096,-
10061098,-
10062011,-
10062013,-
10062015,-
10062017,-
10062092,-
10062094,-
10062096,-
10062098,-
10063021,-
10063023,-
10063025,-
10063027,-
10063042,-
10063044,-
10063046,-
10063048,-
10063061,-
10063063,-
10063065,-
10063067,-
10063092,-
10063094,-
10063096,-
10063098,-
10064000,-
10071010,-
10071090,-
10079000,-
10081000,-
10082100,-
10082900,-
10083000,-
10084000,-
10085000,-
10086000,-
10089000,-
11010011,-
11010015,-
11010090,-
11022010,-
11022090,-
11029010,-
11029030,-
11029050,-
11029070,-
11029090,-
11031110,-
11031190,-
11031310,-
11031390,-
11031920,-
11031940,-
11031950,-
11031990,-
11032025,-
11032030,-
11032040,-
11032050,-
11032060,-
11032090,-
11041210,-
11041290,-
11041910,-
11041930,-
11041950,-
11041961,-
11041969,-
11041991,-
11041999,-
11042240,-
11042250,-
11042295,-
11042340,-
11042398,-
11042904,-
11042905,-
11042908,-
11042917,-
11042930,-
11042951,-
11042955,-
11042959,-
11042981,-
11042985,-
11042989,-
11043010,-
11043090,-
11051000,-
11052000,-
11061000,-
11062010,-
11062090,-
11063010,-
11063090,-
11071011,-
11071019,-
11071091,-
11071099,-
11072000,-
11081100,-
11081200,-
11081300,-
11081400,-
11081910,-
11081990,-
11082000,-
11090000,-
12011000,-
12019000,-
12023000,-
12024100,-
12024200,-
12030000,-
12040010,-
12040090,-
12051010,-
12051090,-
12059000,-
12060010,-
12060091,-
12060099,-
12071000,-
12072100,-
12072900,-
12073000,-
12074010,-
12074090,-
12075010,-
12075090,-
12076000,-
12077000,-
12079110,-
12079190,-
12079920,-
12079991,-
12079996,-
12081000,-
12089000,-
12091000,-
12092100,-
12092210,-
12092280,-
12092311,-
12092315,-
12092380,-
12092400,-
12092510,-
12092590,-
12092945,-
12092950,-
12092960,-
12092980,-
12093000,-
12099130,-
12099180,-
12099910,-
12099991,-
12099999,-
12101000,-
12102010,-
12102090,-
12112000,-
12113000,-
12114000,-
12119020,-
12119030,-
12119086,-
12122100,-
12122900,-
12129120,-
12129180,-
12129200,-
12129300,-
12129400,-
12129941,-
12129949,-
12129995,-
12130000,-
12141000,-
12149010,-
12149090,-
13012000,-
13019000,-
13021100,-
13021200,-
13021300,-
13021905,-
13021920,-
13021970,-
13022010,-
13022090,-
13023100,-
13023210,-
13023290,-
13023900,-
14011000,-
14012000,-
14019000,-
14042000,-
14049000,-
15011010,-
15011090,-
15012010,-
15012090,-
15019000,-
15021010,-
15021090,-
15029010,-
15029090,-
15030011,-
15030019,-
15030030,-
15030090,-
15041010,-
15041091,-
15041099,-
15042010,-
15042090,-
15043010,-
15043090,-
15050010,-
15050090,-
15060000,-
15071010,-
15071090,-
15079010,-
15079090,-
15081010,-
15081090,-
15089010,-
15089090,-
15091010,-
15091090,-
15099000,-
15100010,-
15100090,-
15111010,-
15111090,-
15119011,-
15119019,-
15119091,-
15119099,-
15121110,-
15121191,-
15121199,-
15121910,-
15121990,-
15122110,-
15122190,-
15122910,-
15122990,-
15131110,-
15131191,-
15131199,-
15131911,-
15131919,-
15131930,-
15131991,-
15131999,-
15132110,-
15132130,-
15132190,-
15132911,-
15132919,-
15132930,-
15132950,-
15132990,-
15141110,-
15141190,-
15141910,-
15141990,-
15149110,-
15149190,-
15149910,-
15149990,-
15151100,-
15151910,-
15151990,-
15152110,-
15152190,-
15152910,-
15152990,-
15153010,-
15153090,-
15155011,-
15155019,-
15155091,-
15155099,-
15159011,-
15159021,-
15159029,-
15159031,-
15159039,-
15159040,-
15159051,-
15159059,-
15159060,-
15159091,-
15159099,-
15161010,-
15161090,-
15162010,-
15162091,-
15162095,-
15162096,-
15162098,-
15171010,-
15171090,-
15179010,-
15179091,-
15179093,-
15179099,-
15180010,-
15180031,-
15180039,-
15180091,-
15180095,-
15180099,-
15200000,-
15211000,-
15219010,-
15219091,-
15219099,-
15220010,-
15220031,-
15220039,-
15220091,-
15220099,-
16010010,-
16010091,-
16010099,-
16021000,-
16022010,-
16022090,-
16023111,-
16023119,-
16023180,-
16023211,-
16023219,-
16023230,-
16023290,-
16023921,-
16023929,-
16023985,-
16024110,-
16024190,-
16024210,-
16024290,-
16024911,-
16024913,-
16024915,-
16024919,-
16024930,-
16024950,-
16024990,-
16025010,-
16025031,-
16025095,-
16029010,-
16029031,-
16029051,-
16029061,-
16029069,-
16029091,-
16029095,-
16029099,-
16030010,-
16030080,-
16041100,-
16041210,-
16041291,-
16041299,-
16041311,-
16041319,-
16041390,-
16041421,-
16041426,-
16041428,-
16041431,-
16041436,-
16041438,-
16041441,-
16041446,-
16041448,-
16041490,-
16041511,-
16041519,-
16041590,-
16041600,-
16041700,-
16041910,-
16041931,-
16041939,-
16041950,-
16041991,-
16041992,-
16041993,-
16041994,-
16041995,-
16041997,-
16042005,-
16042010,-
16042030,-
16042040,-
16042050,-
16042070,-
16042090,-
16043100,-
16043200,-
16051000,-
16052110,-
16052190,-
16052900,-
16053010,-
16053090,-
16054000,-
16055100,-
16055200,-
16055310,-
16055390,-
16055400,-
16055500,-
16055600,-
16055700,-
16055800,-
16055900,-
16056100,-
16056200,-
16056300,-
16056900,-
17011210,-
17011290,-
17011310,-
17011390,-
17011410,-
17011490,-
17019100,-
17019910,-
17019990,-
17021100,-
17021900,-
17022010,-
17022090,-
17023010,-
17023050,-
17023090,-
17024010,-
17024090,-
17025000,-
17026010,-
17026080,-
17026095,-
17029010,-
17029030,-
17029050,-
17029071,-
17029075,-
17029079,-
17029080,-
17029095,-
17031000,-
17039000,-
17041010,-
17041090,-
17049010,-
17049030,-
17049051,-
17049055,-
17049061,-
17049065,-
17049071,-
17049075,-
17049081,-
17049099,-
18010000,-
18020000,-
18031000,-
18032000,-
18040000,-
18050000,-
18061015,-
18061020,-
18061030,-
18061090,-
18062010,-
18062030,-
18062050,-
18062070,-
18062080,-
18062095,-
18063100,-
18063210,-
18063290,-
18069011,-
18069019,-
18069031,-
18069039,-
18069050,-
18069060,-
18069070,-
18069090,-
19011000,-
19012000,-
19019011,-
19019019,-
19019091,-
19019099,-
19021100,-
19021910,-
19021990,-
19022010,-
19022030,-
19022091,-
19022099,-
19023010,-
19023090,-
19024010,-
19024090,-
19030000,-
19041010,-
19041030,-
19041090,-
19042010,-
19042091,-
19042095,-
19042099,-
19043000,-
19049010,-
19049080,-
19051000,-
19052010,-
19052030,-
19052090,-
19053111,-
19053119,-
19053130,-
19053191,-
19053199,-
19053205,-
19053211,-
19053219,-
19053291,-
19053299,-
19054010,-
19054090,-
19059010,-
19059020,-
19059030,-
19059045,-
19059055,-
19059060,-
19059090,-
20011000,kg/net eda
20019010,-
20019020,-
20019030,-
20019040,-
20019050,-
20019065,-
20019070,-
20019092,-
20019097,-
20021010,-
20021090,-
20029011,-
20029019,-
20029031,-
20029039,-
20029091,-
20029099,-
20031020,kg/net eda
20031030,kg/net eda
20039010,-
20039090,-
20041010,-
20041091,-
20041099,-
20049010,-
20049030,-
20049050,-
20049091,-
20049098,-
20051000,-
20052010,-
20052020,-
20052080,-
20054000,-
20055100,-
20055900,-
20056000,-
20057000,kg/net eda
20058000,-
20059100,-
20059910,-
20059920,-
20059930,-
20059950,-
20059960,-
20059980,-
20060010,-
20060031,-
20060035,-
20060038,-
20060091,-
20060099,-
20071010,-
20071091,-
20071099,-
20079110,-
20079130,-
20079190,-
20079910,-
20079920,-
20079931,-
20079933,-
20079935,-
20079939,-
20079950,-
20079993,-
20079997,-
20081110,-
20081191,-
20081196,-
20081198,-
20081912,-
20081913,-
20081919,-
20081992,-
20081993,-
20081995,-
20081999,-
20082011,-
20082019,-
20082031,-
20082039,-
20082051,-
20082059,-
20082071,-
20082079,-
20082090,-
20083011,-
20083019,-
20083031,-
20083039,-
20083051,-
20083055,-
20083059,-
20083071,-
20083075,-
20083079,-
20083090,-
20084011,-
20084019,-
20084021,-
20084029,-
20084031,-
20084039,-
20084051,-
20084059,-
20084071,-
20084079,-
20084090,-
20085011,-
20085019,-
20085031,-
20085039,-
20085051,-
20085059,-
20085061,-
20085069,-
20085071,-
20085079,-
20085092,-
20085098,-
20086011,-
20086019,-
20086031,-
20086039,-
20086050,-
20086060,-
20086070,-
20086090,-
20087011,-
20087019,-
20087031,-
20087039,-
20087051,-
20087059,-
20087061,-
20087069,-
20087071,-
20087079,-
20087092,-
20087098,-
20088011,-
20088019,-
20088031,-
20088039,-
20088050,-
20088070,-
20088090,-
20089100,-
20089311,-
20089319,-
20089321,-
20089329,-
20089391,-
20089393,-
20089399,-
20089703,-
20089705,-
20089712,-
20089714,-
20089716,-
20089718,-
20089732,-
20089734,-
20089736,-
20089738,-
20089751,-
20089759,-
20089772,-
20089774,-
20089776,-
20089778,-
20089792,-
20089793,-
20089794,-
20089796,-
20089797,-
20089798,-
20089911,-
20089919,-
20089921,-
20089923,-
20089924,-
20089928,-
20089931,-
20089934,-
20089936,-
20089937,-
20089938,-
20089940,-
20089941,-
20089943,-
20089945,-
20089948,-
20089949,-
20089951,-
20089963,-
20089967,-
20089972,-
20089978,-
20089985,-
20089991,-
20089999,-
20091111,-
20091119,-
20091191,-
20091199,-
20091200,-
20091911,-
20091919,-
20091991,-
20091998,-
20092100,-
20092911,-
20092919,-
20092991,-
20092999,-
20093111,-
20093119,-
20093151,-
20093159,-
20093191,-
20093199,-
20093911,-
20093919,-
20093931,-
20093939,-
20093951,-
20093955,-
20093959,-
20093991,-
20093995,-
20093999,-
20094192,-
20094199,-
20094911,-
20094919,-
20094930,-
20094991,-
20094993,-
20094999,-
20095010,-
20095090,-
20096110,-
20096190,-
20096911,-
20096919,-
20096951,-
20096959,-
20096971,-
20096979,-
20096990,-
20097120,-
20097199,-
20097911,-
20097919,-
20097930,-
20097991,-
20097998,-
20098111,-
20098119,-
20098131,-
20098151,-
20098159,-
20098195,-
20098199,-
20098911,-
20098919,-
20098934,-
20098935,-
20098936,-
20098938,-
20098950,-
20098961,-
20098963,-
20098969,-
20098971,-
20098973,-
20098979,-
20098985,-
20098986,-
20098988,-
20098989,-
20098996,-
20098997,-
20098999,-
20099011,-
20099019,-
20099021,-
20099029,-
20099031,-
20099039,-
20099041,-
20099049,-
20099051,-
20099059,-
20099071,-
20099073,-
20099079,-
20099092,-
20099094,-
20099095,-
20099096,-
20099097,-
20099098,-
21011100,-
21011292,-
21011298,-
21012020,-
21012092,-
21012098,-
21013011,-
21013019,-
21013091,-
21013099,-
21021010,-
21021031,-
21021039,-
21021090,-
21022011,-
21022019,-
21022090,-
21023000,-
21031000,-
21032000,-
21033010,-
21033090,-
21039010,-
21039030,l alc. 100%
21039090,-
21041000,-
21042000,-
21050010,-
21050091,-
21050099,-
21061020,-
21061080,-
21069020,l alc. 100%
21069030,-
21069051,-
21069055,-
21069059,-
21069092,-
21069098,-
22011011,l
22011019,l
22011090,l
22019000,-
22021000,l
22029011,l
22029015,l
22029019,l
22029091,l
22029095,l
22029099,l
22030001,l
22030009,l
22030010,l
22041011,l
22041091,l
22041093,l
22041094,l
22041096,l
22041098,l
22042106,l
22042107,l
22042108,l
22042109,l
22042111,l
22042112,l
22042113,l
22042117,l
22042118,l
22042119,l
22042122,l
22042123,l
22042124,l
22042126,l
22042127,l
22042128,l
22042132,l
22042134,l
22042136,l
22042137,l
22042138,l
22042142,l
22042143,l
22042144,l
22042146,l
22042147,l
22042148,l
22042162,l
22042166,l
22042167,l
22042168,l
22042169,l
22042171,l
22042174,l
22042176,l
22042177,l
22042178,l
22042179,l
22042180,l
22042181,l
22042182,l
22042183,l
22042184,l
22042185,l
22042186,l
22042187,l
22042188,l
22042189,l
22042190,l
22042191,l
22042192,l
22042193,l
22042194,l
22042195,l
22042196,l
22042197,l
22042198,l
22042910,l
22042911,l
22042912,l
22042913,l
22042917,l
22042918,l
22042942,l
22042943,l
22042944,l
22042946,l
22042947,l
22042948,l
22042958,l
22042979,l
22042980,l
22042981,l
22042982,l
22042983,l
22042984,l
22042985,l
22042986,l
22042987,l
22042988,l
22042989,l
22042990,l
22042991,l
22042992,l
22042993,l
22042994,l
