"UNU.Key","Primary.Collection.Category","Full.name","Abbreviation","..of.Subkeys","..of.Product.types","WEEE_Annex_III","CollectionCat_7Code","WEEE_Annex_I","WeeeForum"
"0602","A PROF Tools","0602 PROF Tools (Professional tools, excl. dual use)","0602 PROF Tools",7,36,"Large equipment","IV","6","6 Tools"
"0701","C SHA","0701 SHA Toys (small toys, vehicles, small music)","0701 SHA Toys",3,3,"Small equipment","IV","7","7 Toys"
"0702","G IT","0702 SHA Game Consoles (video games and consoles)","0702 IT Game Consoles",4,4,"Small IT and telecommunication equipment","VI","7","7 Toys"
"0703","C LHA","0703 LHA Leisure (large exercise, music instr. and sunbeds)","0703 LHA Leisure",3,17,"Small equipment","IV","7","7 Toys"
"0801","C SHA","0801 SHA Medical (small HH thermom., blood pressure meters)","0801 SHA Medical",1,52,"Small equipment","V","8","8 Medical"
"0802","A PROF Med","0802 PROF medical (hospital, dentist, diagnostics, etc.)","0802 PROF Medical",1,47,"Large equipment","IV","8","8 Medical"
"0901","C SHA","0901 SHA Monitoring (alarm, heat, smoke, security, ex. screens)","0901 SHA Monitoring",2,28,"Small equipment","V","9","9 M&C"
"0902","A PROF Mon","0902 PROF Monitoring (Prof. M&C, garage, diagnostic, etc.)","0902 PROF Monitoring",1,7,"Large equipment","IV","9","9 M&C"
"1001","A PROF LHA","1001 PROF Dispensers (non-cooled vending, coffee, tickets, etc.)","1001 PROF Disp. non-cooled",1,4,"Large equipment","IV","10","10 Disp"
"1002","A PROF C&F","1002 PROF Dispensers (cooled vending, bottles, candy, etc.)","1002 PROF Disp. cooled",1,3,"Temperature exchange equipment","IV","10","10 Disp"
